Rank,MovieTitle,Studio,TotalGross,Theaters,OpeningGross,OpeningTheaters,OpenDate
1,Beauty and the Beast (2017),BV,"$504,014,165 ",4210,"$174,750,616 ",4210,14-Apr
2,Wonder Woman,WB,"$411,600,007 ",4165,"$103,251,471 ",4165,23-Jun
3,Guardians of the Galaxy Vol. 2,BV,"$389,810,502 ",4347,"$146,510,104 ",4347,9-Jun
4,Spider-Man: Homecoming,Sony,"$330,644,416 ",4348,"$117,027,503 ",4348,14-Apr
5,Despicable Me 3,Uni.,"$261,242,325 ",4535,"$72,434,025 ",4529,3-Mar
6,It,WB (NL),"$232,406,627 ",4148,"$123,403,419 ",4103,10-Feb
7,Logan,Fox,"$226,277,068 ",4071,"$88,411,916 ",4071,12-Sep
8,The Fate of the Furious,Uni.,"$225,764,765 ",4329,"$98,786,705 ",4310,10-Feb
9,Dunkirk,WB,"$185,580,747 ",4014,"$50,513,488 ",3720,12-May
10,The LEGO Batman Movie,WB,"$175,750,384 ",4088,"$53,003,468 ",4088,3-Mar
11,Get Out,Uni.,"$175,484,140 ",3143,"$33,377,060 ",2781,7-Apr
12,The Boss Baby,Fox,"$174,979,567 ",3829,"$50,198,902 ",3773,2-Jun
13,Pirates of the Caribbean: Dead Men Tell No Tales,BV,"$172,553,070 ",4276,"$62,983,253 ",4276,9-Jun
14,Kong: Skull Island,WB,"$168,052,812 ",3846,"$61,025,472 ",3846,28-Jul
15,Cars 3,BV,"$152,311,351 ",4256,"$53,688,680 ",4256,7-Apr
16,War for the Planet of the Apes,Fox,"$145,960,898 ",4100,"$56,262,929 ",4022,15-Mar
17,Split,Uni.,"$138,141,585 ",3373,"$40,010,975 ",3038,23-Jun
18,Transformers: The Last Knight,Par.,"$130,168,683 ",4132,"$44,680,073 ",4069,12-May
19,Girls Trip,Uni.,"$114,527,660 ",2648,"$31,201,920 ",2591,20-Jan
20,Fifty Shades Darker,Uni.,"$114,434,010 ",3714,"$46,607,250 ",3710,14-Apr
21,Baby Driver,TriS,"$107,183,414 ",3226,"$20,553,320 ",3226,10-Mar
22,Annabelle: Creation,WB (NL),"$100,235,306 ",3565,"$35,006,404 ",3502,14-Apr
23,John Wick: Chapter Two,LG/S,"$92,029,184 ",3113,"$30,436,123 ",3113,13-Jan
24,Power Rangers (2017),LGF,"$85,364,450 ",3693,"$40,300,288 ",3693,27-Jan
25,The Emoji Movie,Sony,"$84,075,310 ",4075,"$24,531,923 ",4075,2-Jun
26,The Mummy (2017),Uni.,"$80,101,125 ",4035,"$31,688,375 ",4035,5-May
27,Alien: Covenant,Fox,"$74,262,031 ",3772,"$36,160,621 ",3761,10-Mar
28,Captain Underpants: The First Epic Movie,Fox,"$73,820,839 ",3529,"$23,851,539 ",3434,30-Jun
29,The Hitman's Bodyguard,LG/S,"$71,472,990 ",3377,"$21,384,504 ",3377,28-Jul
30,A Dog's Purpose,Uni.,"$64,321,890 ",3178,"$18,222,810 ",3059,21-Jul
31,Baywatch,Par.,"$58,060,186 ",3647,"$18,503,871 ",3647,18-Aug
